Id,Admin_Permission_Set__c,Description__c,Github_Repository_URL__c,Dependencies_Met__c,Install_Key__c,Latest_Commit_DateTime__c,Latest_Commit_Description__c,Latest_Commit_Hash__c,Latest_Package_Version__c,Latest_Package_Version_Name__c,Latest_SFDX_Package_Alias__c,Latest_SFDX_Package_Version_Description__c,Latest_SFDX_Package_Version_Name__c,Latest_Subscriber_Package_Version_Id__c,Latest_Tag_Commit_DateTime__c,Latest_Tag_Commit_Description__c,Latest_Tag_Commit_Hash__c,Latest_Tag_Version_Name__c,Package_Name__c,POC_Email__c,POC_Name__c,SFDX_Package_Enabled_Flag__c,SFDX_Package_Name__c,Source_Install_Type_Flag__c,Package_Install_Type_Flag__c,Subscriber_Package_Id__c,Title__c,Name
a02J000000TFmMEIA1,,,,true,,,,,1.0.0-1,Build 1,,,,04t30000000e4kpAAA,,,,,PKB SITE SETUP,,,false,,false,true,03330000000R4xgAAC,PKB SITE SETUP,D-00051
a02J000000TFmMGIA1,,"This package contains Connected Applications for all the officially supported Salesforce client applications such as Touch, Salesforce for Outlook, Salesforce Mobile Dashboards, and more!",,true,,,,,1.7.0-1,Winter '16,,,,04t30000001DUvrAAG,,,,,Salesforce Connected Apps,,,false,,false,true,03330000000wDAbAAM,Salesforce Connected Apps,D-00053
a02J000000TFmMIIA1,,,,true,,,,,1.2.0-1,Quick Search,,,,04tF0000000Jd4BIAS,,,,,Quick Search,,,false,,false,true,033F0000000NMeGIAW,Quick Search,D-00055
a02J000000TFmLZIA1,,,,true,,,,,1.5.0-1,LightningWorkOrderKnowledge,,,,04t0O000000bk4mQAA,,,,,LightningWorkOrderKnowledge,,,false,,false,true,0330O000000Xtp7QAC,LightningWorkOrderKnowledge,D-00010
a02J000000TFmLaIAL,,,,true,,,,,1.0.0-1,Initial Release,,,,04t0Y000002KLRcQAO,,,,,Live Agent Case Creation Workaround,,,false,,false,true,0330Y0000001dTjQAI,Live Agent Case Creation Workaround,D-00011
a02J000000TFmLbIAL,,Help your service agents close cases quickly and consistently with call scripting!,,true,,,,,1.4.0-1,Spring 2019,,,,04t0b000001jjHZAAY,,,,,Service Agent Script,,,false,,false,true,0330b00000058llAAA,Service Agent Script,D-00012
a02J000000TFmLcIAL,,,,true,,,,,1.23.0-2,Spring 2020,,,,04t0b000001oXugAAE,,,,,Einstein Playground,,,false,,false,true,0330b0000009s7hAAA,Einstein Playground,D-00013
a02J000000TFmLeIAL,,Summer &#39;18 Version,,true,,,,,1.2.0-1,Summer 2018,,,,04tB00000005zBQIAY,,,,,NavigateToSObject,,,false,,false,true,033B00000005PmHIAU,NavigateToSObject,D-00015
a02J000000TFmLfIAL,,,,true,,,,,1.1.0-1,1,,,,04tB00000006lJqIAI,,,,,Contact Highlight,,,false,,false,true,033B000000060kwIAA,Contact Highlight,D-00016
a02J000000TFmLgIAL,,,,true,,,,,1.4.0-1,Aug 19,,,,04tB00000007DcvIAE,,,,,B2B EA Pack,,,false,,false,true,033B00000006Ar0IAE,B2B EA Pack,D-00017
a02J000000TFmLhIAL,,,,true,,,,,1.1.0-1,Summer 2017,,,,04tB0000000HqNiIAK,,,,,FSLVisionPilot,,,false,,false,true,033B00000004YDEIA2,FSLVisionPilot,D-00018
a02J000000TFmLiIAL,,,,true,,,,,1.1.0-1,Version 1.1,,,,04tB0000000FGB7IAO,,,,,Lightning Live Agent 1.1,,,false,,false,true,033B0000000EoCoIAK,Lightning Live Agent 1.1,D-00019
a02J000000TFmLjIAL,,,,true,,,,,1.19.0-1,Summer '20,,,,04t1H000000X8jZQAS,,,,,Einstein Discovery Prediction,,,false,,false,true,0331H000000gKeJQAU,Einstein Discovery Prediction,D-00020
a02J000000TFmLlIAL,,,,true,,,,,1.0.0-1,1.0,,,,04t1I000003FBt7QAG,,,,,Platform_Event_Toolkit,,,false,,false,true,0331I000000ZYqaQAG,Platform_Event_Toolkit,D-00022
a02J000000TFmLnIAL,,Sample utility and client-facing flows that illustrate how to use Lightning Flow with Community Cloud.,,true,,,,,1.0.0-1,1.0,,,,04t1I000003coh8QAA,,,,,Lightning Flow Sample Pack (Unmanaged),,,false,,false,true,0331I000000m4NLQAY,Lightning Flow Sample Pack (Unmanaged),D-00024
a02J000000TFmLoIAL,,,,true,,,,,1.2.0-1,Nov 2018,,,,04t1N000000KiQuQAK,,,,,NBA Flows,,,false,,false,true,0331N000000JuiQQAS,NBA Flows,D-00025
a02J000000TFmLpIAL,,,,true,,,,,1.0.0-1,Lightning Mass Delete,,,,04t1U000002tjNHQAY,,,,,Lightning Mass Delete,,,false,,false,true,0331U0000005ISiQAM,Lightning Mass Delete,D-00026
a02J000000TFmLqIAL,,Provides an easy way to configure a product and its related objects in one component.,,true,,,,,1.14.0-1,Category selection fix,,,,04t1U000007Y2l9QAC,,,,,B2B Product Wizard,,,false,,false,true,0331U000000ACHJQA4,B2B Product Wizard,D-00027
a02J000000TFmLrIAL,,,,true,,,,,3.10.0-1,Initial Screen enhancement,,,,04t1U000007Y1sJQAS,,,,,B2B Order Form,,,false,,false,true,0331U000000Aw31QAC,B2B Order Form,D-00028
a02J000000TFmMJIA1,,"Automatically surface recommendations to your employees based on live conversations with customers. Works with Chat, Messaging, and even Service Cloud Voice!",,true,,,,,1.0.0-1,Winter 21,,,,04tB0000000d0t3IAA,,,,,Conversational Next Best Action,,,false,,false,true,033B0000000cEfrIAE,Conversational Next Best Action,D-00056
a02J000000TFmMKIA1,,SteelBrick Advanced Approvals takes approval process to the next level. Support complex approval processes with dynamic approvers and complex aggregate criteria.,,true,,,,,224.5.0-1,Spring '20,,,,04t0L000000EijYQAS,,,,,Advanced Approvals,,,false,,false,true,033E0000000DbPxIAK,Advanced Approvals,D-00057
a02J000000TFmMMIA1,,A powerful ecommerce experience for business buyers,,true,,,,,3.147.3-1,B2B Commerce 4.12,,,,04t3w0000011Oq3AAE,,,,,B2B Commerce,,,false,,false,true,033d0000000QEv5AAG,B2B Commerce,D-00059
a02J000000TFmMNIA1,,,,true,,,,,2.0.0-1,Version 2.0,,,,04tf2000002CJ2qAAG,,,,,Customer 360 Demo Component Pack,,,false,,false,true,033f2000000DyyuAAC,Customer 360 Demo Component Pack,D-00060
a02J000000TFmMOIA1,,Evaluate what rules/policies might be keeping a Service Appointment from being scheduled.,,true,,,,,1.2.0-1,Summer 18,,,,04tf2000001arbtAAA,,,,,FSL Rule Analyzer,,,false,,false,true,033f2000000Vpl2AAC,FSL Rule Analyzer,D-00061
a02J000000TFmMPIA1,,,,true,,,,,1.0.0-1,Summer 17,,,,04tf4000000B54sAAC,,,,,Lightning Demo CTI,,,false,,false,true,033f40000000LbaAAE,Lightning Demo CTI,D-00062
a02J000000TFmMSIA1,,Show off the best of the Marketing Cloud with the Marketing Cloud Tour app. Demo an on-rails journey setup with a custom brand and industry in a few simple steps.,,true,,,,,1.1.0-1,Spring 2018,,,,04tf4000002sgHcAAI,,,,,Marketing Cloud Tour,,,false,,false,true,033f4000000QvBRAA0,Marketing Cloud Tour,D-00065
a02J000000TFmMUIA1,,,,true,,,,,1.0.0-1,Summer17,,,,04tf40000019WU6AAM,,,,,Omni Supervisor,,,false,,false,true,033f4000000gvtSAAQ,Omni Supervisor,D-00067
a02J000000TFmMWIA1,,,,true,,,,,1.0.0-1,spring 2019,,,,04tf4000004PpYUAA0,,,,,WorkTypeAnalysisFlow,,,false,,false,true,033f4000000mgIFAAY,WorkTypeAnalysisFlow,D-00069
a02J000000TFmMXIA1,,,,true,,,,,2.1.0-1,Summer '17,,,,04ti00000011RnTAAU,,,,,SocialCustomerService,,,false,,false,true,033i0000000QSSLAA4,SocialCustomerService,D-00070
a02J000000TFmMYIA1,,,,true,,,,,2.8.0-1,April 2017,,,,04ti0000000tCdiAAE,,,,,Quip,,,false,,false,true,033i0000000gAHOAA2,Quip,D-00071
a02J000000TFmMZIA1,,,,true,,,,,1.0.0-1,QLabs Org Identifier,,,,04tj0000000LYXiAAO,,,,,QLabs Org Identifier,,,false,,false,true,033j0000000L5ofAAC,QLabs Org Identifier,D-00072
a02J000000TFmLsIAL,,,,true,,,,,2.1.0-1,Misc Enhancements,,,,04t1U000007Y0pXQAS,,,,,B2B Quick Theme SDO,,,false,,false,true,0331U000000AwCUQA0,B2B Quick Theme SDO,D-00029
a02J000000TFmLtIAL,,,,true,,,,,225.0.0-4,225,,,,04t1U000007oUXAQA2,,,,,Social Intelligence Module,,,false,,false,true,0331U000000N9GOQA0,Social Intelligence Module,D-00030
a02J000000TFmLuIAL,,PSBulkAction Installed with Lightning Strike,,true,,,,,1.0.0-1,ver 1.0,,,,04t1U000004pWnYQAU,,,,,MDPSBulkActionPkg,,,false,,false,true,0331U000000QhDlQAK,MDPSBulkActionPkg,D-00031
a02J000000TFmLvIAL,,,,true,,,,,1.1.0-1,Custom Notifications,,,,04t1U000007oSO1QAM,,,,,Custom Notifications - Process Builders & Custom Notification Object,,,false,,false,true,0331U000000aJGJQA2,Custom Notifications - Process Builders & Custom Notification Object,D-00032
a02J000000TFmLxIAL,,,,true,,,,,1.0.0-1,1.0,,,,04tB0000000JuW3IAK,,,,,Contact Custom Fields for NBA/Builder Demo,,,false,,false,true,033B0000000IjnkIAC,Contact Custom Fields for NBA/Builder Demo,D-00034
a02J000000TFmLyIAL,,,,true,,,,,0.1.0-31,ver 0.1,,,,04tB0000000BIzZIAW,,,,,Field Service Last Mile,,,false,,false,true,033B0000000Pa4pIAC,Field Service Last Mile,D-00035
a02J000000TFmM0IAL,,Provides a quick way to update the CC Product Media records associated with a CC Product.,,true,,,,,1.3.0-1,Enhancements,,,,04t1U000007Y2xCQAS,,,,,B2B Product Media Admin,,,false,,false,true,0331U000000ieKCQAY,B2B Product Media Admin,D-00037
a02J000000TFmM1IAL,,SalesforceIQ Inbox,,true,,,,,1.9.0-2,SalesforceIQ Inbox,,,,04t1a000000EcKIAA0,,,,,SalesforceIQ Inbox,,,false,,false,true,0331a0000009kg4AAA,SalesforceIQ Inbox,D-00038
a02J000000TFmM2IAL,,Mass Inline Edit related lists on lightning records.,,true,,,,,1.9.0-1,"Nov 3rd, 2018",,,,04t1r000000AgCaAAK,,,,,Mass Edit Related Lists,,,false,,false,true,0331r000000Lx54AAC,Mass Edit Related Lists,D-00039
a02J000000TFmM3IAL,,,,true,,,,,1.1.0-1,ThreeColumnFoldableLightningLayout,,,,04t1v0000021jlgAAA,,,,,ThreeColumnFoldableLightningLayout,,,false,,false,true,0331v000000MMPJAA4,ThreeColumnFoldableLightningLayout,D-00040
a02J000000TFmM4IAL,,"With Salesforce Billing you can create Orders, Automate your billing, Generate Invoices automatically, Manage Subscriptions and Invoice in Multiple Currencies, Collect Payments using your preferred gateway.",,true,,,,,224.3.0-1,Spring '20,,,,04t0K000001E2LoQAK,,,,,Salesforce Billing,,,false,,false,true,033280000006PzfAAE,Salesforce Billing,D-00041
a02J000000TFmM6IAL,,Lightning Lead Inbox (Community),,true,,,,,1.0.0-1,Lightning Lead Inbox (Community),,,,04t28000000Ni4BAAS,,,,,Lightning Lead Inbox (Community),,,false,,false,true,03328000000MRV1AAO,Lightning Lead Inbox (Community),D-00043
a02J000000TFmM7IAL,,,,true,,,,,1.0.0-1,Version 1,,,,04t2v000006xxLYAAY,,,,,Reply Recommendations,,,false,,false,true,0332v000000Gg2FAAS,Reply Recommendations,D-00044
a02J000000TFmMbIAL,,Package for authorizing service cloud Einstein move data into/out of the org.,,true,,,,,1.4.0-1,Pilot,,,,04to00000004PFlAAM,,,,,service.api,,,false,,false,true,033o0000000C3XUAA0,service.api,D-00074
a02J000000TFmMcIAL,,"Dashboards, reports, and Insights for Salesforce Communities managers.",,true,,,,,13.0.0-1,Winter 19,,,,04t1J000000OUuGQAW,,,,,Salesforce Communities Management (for Communities with Chatter),,,false,,false,true,033o0000000FJJUAA4,Salesforce Communities Management (for Communities with Chatter),D-00075
a02J000000TFmMeIAL,,This package contains Connected Applications for the officially supported Salesforce apps for iOS and Android and Chatter applications on your desktop!,,true,,,,,1.19.0-1,Summer 2019,,,,04t3A000001AJf2QAG,,,,,Salesforce and Chatter Apps,,,false,,false,true,03330000001Ig8MAAS,Salesforce and Chatter Apps,D-00077
a02J000000TFmMfIAL,,Contains several Insights-style reports for Ideas in a community.,,true,,,,,1.0.0-1,1.0,,,,04t36000000A4hWAAS,,,,,Insights for Ideas,,,false,,false,true,033360000000nYIAAY,Insights for Ideas,D-00078
a02J000000TFmMhIAL,,A set of community-enabled Lightning Components that gracefully handle both Lead Pass and Deal Registration for partner community use cases.,,true,,,,,1.4.0-1,1.4,,,,04t360000004TMrAAM,,,,,Lead Pass and Deal Registration,,,false,,false,true,03336000000AhAWAA0,Lead Pass and Deal Registration,D-00080
a02J000000TFmMjIAL,,"This tool will create a secure connection between Core Salesforce and SalesforceIQ infrastructure to pull data into the machine learning platform where advanced models will score entities (example, Leads).",,true,,,,,1.0.0-1,SIQCloud OAuth,,,,04t36000000adDUAAY,,,,,SalesforceIQ Cloud,,,false,,false,true,03336000000GVxjAAG,SalesforceIQ Cloud,D-00082
a02J000000TFmMkIAL,,This package contains the Salesforce Field Service Connected App for all officially supported mobile devices,,true,,,,,1.51.0-1,1.51,,,,04t1R0000016YZtQAM,,,,,Salesforce Field Service App Package,,,false,,false,true,03336000000GxnpAAC,Salesforce Field Service App Package,D-00083
a02J000000TFmMlIAL,,,,true,,,,,1.18.0-1,Snap-ins Quick Setup,,,,04t360000016IuAAAU,,,,,Snap-ins Quick Setup,,,false,,false,true,03336000000gI8mAAE,Snap-ins Quick Setup,D-00084
a02J000000TFmMmIAL,,,,true,,,,,1.31.0-1,Winter 2016,,,,04t37000000209gAAA,,,,,Knowledgeable Users Lightning Component,,,false,,false,true,033370000009ZWJAA2,Knowledgeable Users Lightning Component,D-00085
a02J000000TFmMnIAL,,,,true,,,,,1.4.0-1,October 2019 v4,,,,04t3c000001AuNhAAK,,,,,SDO updates,,,false,,false,true,0333c000000BEpWAAW,SDO updates,D-00086
a02J000000TFmMoIAL,,,https://github.com/davidlarrimore/gpbu-component-package-manager,true,,,,,0.5.0-1,Beta,,,,04t3h000004RbztAAC,,,,,Component Package Manager,,,true,,true,true,0333h000000AZMRAA4,Component Package Manager,D-00087
a02J000000TFmMpIAL,,,,true,,,,,1.4.0-1,July 20 2020,,,,04t3h000004NQWhAAO,,,,,Change Tab Label,,,false,,false,true,0333h000000QVqXAAW,Change Tab Label,D-00088
a02J000000TFmMqIAL,,,,true,,,,,1.1.0-2,Spring 2020,,,,04t3h000002FiLSAA0,,,,,CMS Content Type Creator,,,false,,false,true,0333h000000TprpAAC,CMS Content Type Creator,D-00089
a02J000000TFmNAIA1,,"This package contains Loyalty features, CMS Features, Bundle capabilities and Cross Sell Capabilities.

V.Boucher, F. Feix, M. Sobczak &amp; A. Chabrol",,true,,,,,1.5.0-1,LB2B Toolbox,,,,04t4W000002UBNMQA4,,,,,LB2B Toolbox,,,false,,false,true,0334W000000EpxCQAS,LB2B Toolbox,D-00109
a02J000000TFmNBIA1,,This app is intended for demonstrators of salesforce.com. It accelerates the process to change the data in the Org to prepare for a demo to a prospect.,,true,,,,,1.5.0-1,3.0.1,,,,04t5000000050etAAA,,,,,Org Customizer,,,false,,false,true,033500000008iHgAAI,Org Customizer,D-00110
a02J000000TFmNCIA1,,"Increase competitiveness, partner satisfaction, and channel revenues with the salesforce.com PRM Deal Registration application. Manage your deal registration program directly from within salesforce.com and include your partners through the salesforce.com PRM portal",,true,,,,,8.0.0-1,1.0,,,,04t50000000D25oAAC,,,,,Deal Registration,,,false,,false,true,03350000000CqckAAC,Deal Registration,D-00111
a02J000000TFmNDIA1,,"Use this application to manage partner account information including certifications, geographic coverage, and enrolled programs. Measure partner performance including lead conversion rates, close rates, and revenue targets using a partner scorecard",,true,,,,,9.1.0-1,1.0,,,,04t50000000D7k8AAC,,,,,Partner Account Management,,,false,,false,true,03350000000CvB5AAK,Partner Account Management,D-00112
a02J000000TFmNFIA1,,,,true,,,,,1.3.0-1,Spring'16,,,,04t58000000Qta5AAC,,,,,ChatterGroupTiles,,,false,,false,true,03358000000PiYNAA0,ChatterGroupTiles,D-00114
a02J000000TFmNGIA1,,This tool creates a secure connection between core Salesforce data and our sales intelligence infrastructure where advanced models surface insights related to an organization&#39;s sales process.,,true,,,,,1.0.0-1,1.0,,,,04t58000000SGw3AAG,,,,,Sales Insights,,,false,,false,true,03358000000Q8xqAAC,Sales Insights,D-00115
a02J000000TFmNHIA1,,"The Article Body app has components that allow for displaying the rich text content of both lightning and classic knowledge articles, instead of the standard page layout display that shows more fields than potentially needed. 
The Lightning Knowledge component provides querying options by recordId, urlName, or articleNumber. Both the Lightning and Classic Knowledge components provide options to show/hide/style the Title, Article Number, and Total Number of Views, as well as showing / hiding voting capabilities for authenticated users is also possible.",,true,,,,,1.6.0-1,Knowledge Article Body Content,,,,04t5w000000asSiAAI,,,,,Knowledge Article Body Content,,,false,,false,true,0335w0000001hXBAAY,Knowledge Article Body Content,D-00116
a02J000000TFmNIIA1,,Tableau built a Lightning web component that enables Salesforce developers to quickly embed Tableau’s rich interactive dashboards and visualizations within Salesforce pages.,,true,,,,,1.1.0-1,September 2020,,,,04t5w000005di91AAA,,,,,Tableau Viz Lightning Web Component,,,false,,false,true,0335w000000EfskAAC,Tableau Viz Lightning Web Component,D-00117
a02J000000TFmNJIA1,,,,true,,,,,1.0.0-1,chatpop,,,,04t5w000005PgXZAA0,,,,,chatpoputils,,,false,,false,true,0335w000000R9QFAA0,chatpoputils,D-00118
a02J000000TFmNKIA1,,,,true,,,,,1.0.0-1,autumn2020,,,,04t5w000005CpnDAAS,,,,,Qinsight,,,false,,false,true,0335w000000dWvQAAU,Qinsight,D-00119
a02J000000TFmNMIA1,,,,true,,,,,1.2.0-1,1.2,,,,04t610000004GQJAA2,,,,,Idea Component (Lightning),,,false,,false,true,03361000000AkZ2AAK,Idea Component (Lightning),D-00121
a02J000000TFmNNIA1,,AQI component for Lightning Knowledge,,true,,,,,1.7.0-3,September 2018,,,,04t6A000003Kfz2QAC,,,,,Article Quality Index Lightning Managed,,,false,,false,true,0336A0000002GrzQAE,Article Quality Index Lightning Managed,D-00122
a02J000000TFmNOIA1,,,,true,,,,,1.0.0-1,Summer '17,,,,04t6A0000005kkMQAQ,,,,,SCS Connected App,,,false,,false,true,0336A0000004OD4QAM,SCS Connected App,D-00123
a02J000000TFmNPIA1,,,,true,,,,,1.0.0-1,q2cdemosettings,,,,04t6A000003477aQAA,,,,,q2cdemosetup,,,false,,false,true,0336A000000AwJ4QAK,q2cdemosetup,D-00124
a02J000000TFmMrIAL,,"Chronos is the fastest way for your customers to schedule, view, reschedule and cancel their Lightning Scheduler appointments using Chat or SMS. Just send a message about your appointment needs and Chronos will take care of it for you! We&#39;ve made this an unmanaged package so that administrators and developers can modify Chronos to fit any business process.",,true,,,,,1.0.0-1,Summer 2019,,,,04t3i000002OKyvAAG,,,,,Chronos - Example Einstein Bot for Lightning Scheduler,,,false,,false,true,0333i0000005Mt9AAE,Chronos - Example Einstein Bot for Lightning Scheduler,D-00090
a02J000000TFmMsIAL,,,,true,,,,,1.7.0-1,September 2019,,,,04t3i000002ijA5AAI,,,,,Case Timer,,,false,,false,true,0333i000000HBrQAAW,Case Timer,D-00091
a02J000000TFmMtIAL,,"Unmanaged version of a custom object, list views, and other utilities to help manage CMS content as Salesforce records using Salesforce CMS.",,true,,,,,1.6.0-1,1.6,,,,04t3i000001CcjCAAS,,,,,Salesforce CMS Utils: Unmanaged,,,false,,false,true,0333i000000cBFTAA2,Salesforce CMS Utils: Unmanaged,D-00092
a02J000000TFmMuIAL,,,,true,,,,,2.404.0-1,2.404,,,,04t3k000001yw2MAAQ,,,,,Data Mask,,,false,,false,true,0333k000000KkrQAAS,Data Mask,D-00093
a02J000000TFmMvIAL,,,,true,,,,,1.4.3-0,1.4.3.0,,,,04t3k0000027AglAAE,,,,,sustain_app,,,false,,false,true,0333k000000bw8kAAA,sustain_app,D-00094
a02J000000TFmMwIAL,,Applicants Object,,true,,,,,1.1.0-1,Applicants v1.1,,,,04t3k000001mPPwAAM,,,,,Applicants,,,false,,false,true,0333k000000kRPvAAM,Applicants,D-00095
a02J000000TFmMxIAL,,,,true,,,,,1.5.0-1,Initial Release,,,,04t3t000002kqEOAAY,,,,,B2B Order Grid,,,false,,false,true,0333t0000009pD3AAI,B2B Order Grid,D-00096
a02J000000TFmMyIAL,,,,true,,,,,1.1.0-1,Community Personalization Flow,,,,04t3t000002Mz2uAAC,,,,,Community Personalization Flow,,,false,,false,true,0333t000000dcHvAAI,Community Personalization Flow,D-00097
a02J000000TFmMzIAL,,,,true,,,,,4.52.0-1,Pardot Package v4.52,,,,04t1W0000006HW1QAM,,,,,Pardot,,,false,,false,true,033400000008lMWAAY,Pardot,D-00098
a02J000000TFmN0IAL,,null,,true,,,,,224.0.0-1,Spring '20,,,,04t2M000002QBnfQAG,,,,,AuthorizeDotnet for Salesforce Billing,,,false,,false,true,0334100000074WpAAI,AuthorizeDotnet for Salesforce Billing,D-00099
a02J000000TFmN1IAL,,You&#39;ll need this connected app so you can export data to Quip and use Salesforce Connected Live Apps.,,true,,,,,1.3.0-1,November 2017,,,,04t41000002iVxrAAE,,,,,Quip Connected App,,,false,,false,true,03341000000cnFfAAI,Quip Connected App,D-00100
a02J000000TFmN3IAL,,,,true,,,,,227.3.0-2,227,,,,04t1K000002ilSKQAY,,,,,MCDistributedMarketing,,,false,,false,true,03341000000oUagAAE,MCDistributedMarketing,D-00102
a02J000000TFmN4IAL,,,,true,,,,,1.32.0-1,Engage Reports v1.32,,,,04t46000002FFnSAAW,,,,,EngageReports,,,false,,false,true,03346000000L8dGAAS,EngageReports,D-00103
a02J000000TFmN5IAL,,Rider is an Einstein Bot that assists customers self-scheduling and managing their Field Service Lightning appointments over messaging and chat channels,,true,,,,,1.4.0-1,Summer 2019,,,,04t4P000001947BQAQ,,,,,Rider,,,false,,false,true,0334P000000Ih9fQAC,Rider,D-00104
a02J000000TFmN6IAL,,Tracker is an FSL Einstein bot that assists contractors and other FSL resources managing their assigned service appointments over messaging channels.,,true,,,,,1.1.0-1,Summer 2019,,,,04t4P000001g3yYQAQ,,,,,Tracker,,,false,,false,true,0334P000000Va8aQAC,Tracker,D-00105
a02J000000TFmN7IAL,,,,true,,,,,1.2.0-2,Canvas URL Update,,,,04t4P000002qmZcQAI,,,,,XDO Automation,,,false,,false,true,0334P000000d02xQAA,XDO Automation,D-00106
a02J000000TFmN8IAL,,,,true,,,,,1.3.1-1,v1.3.1,,,,04t4R000001hhDqQAI,,,,,Quip Setup Starter,,,false,,false,true,0334R0000015avDQAQ,Quip Setup Starter,D-00107
a02J000000TFmN9IAL,,,,true,,,,,1.0.0-1,Location Mover (for deployment),,,,04t4T000001ZCgmQAG,,,,,Location Mover,,,false,,false,true,0334T0000008wq1QAA,Location Mover,D-00108
a02J000000TFmNUIA1,,,,true,,,,,1.6.0-2,1.6,,,,04t6F000004DIpIQAW,,,,,Article Feedback,,,false,,false,true,0336F000000B2yLQAS,Article Feedback,D-00129
a02J000000TFmNVIA1,,,,true,,,,,1.1.0-2,Summer 2020,,,,04t6g000008f6KQAAY,,,,,Flow Datagrid Pack,,,false,,false,true,0336g0000002VejAAE,Flow Datagrid Pack,D-00130
a02J000000TFmNWIA1,,B2B LE Video player for YouTube and static resources,,true,,,,,1.1.0-0,Initial version,,,,04t6g0000083hTPAAY,,,,,B2B LE Video Player,,,false,,false,true,0336g000000JYq7AAG,B2B LE Video Player,D-00131
